1,0
118,6, 99%, 100%, 100%, 100%, 100%, 100%
119,6, 99%, 99%, 100%, 100%, 100%, 100%
120,6, 99%, 99%, 100%, 100%, 100%, 100%
121,6, 90%, 99%, 99%, 100%, 100%, 100%
122,6, 90%, 99%, 99%, 100%, 100%, 100%
123,6, 90%, 99%, 99%, 100%, 100%, 100%
124,6, 90%, 99%, 99%, 100%, 100%, 100%
125,6, 84%, 99%, 99%, 100%, 100%, 100%
126,6, 89%, 99%, 99%, 100%, 100%, 100%
127,6, 87%, 99%, 99%, 100%, 100%, 100%
128,6, 94%, 99%, 99%, 100%, 100%, 100%
129,6, 91%, 99%, 99%, 100%, 100%, 100%
130,6, 94%, 99%, 99%, 100%, 100%, 100%
131,6, 93%, 99%, 99%, 100%, 100%, 100%
132,6, 95%, 99%, 100%, 100%, 100%, 100%
133,6, 93%, 99%, 99%, 100%, 100%, 100%
134,6, 93%, 99%, 100%, 100%, 100%, 100%
135,6, 92%, 99%, 99%, 100%, 100%, 100%
136,6, 85%, 93%, 99%, 100%, 100%, 100%
137,6, 93%, 99%, 100%, 100%, 100%, 100%
138,6, 92%, 99%, 100%, 100%, 100%, 100%
139,6, 89%, 99%, 99%, 100%, 100%, 100%
140,6, 74%, 99%, 99%, 100%, 100%, 100%
141,6, 80%, 99%, 99%, 100%, 100%, 100%
142,6, 81%, 99%, 99%, 100%, 100%, 100%
143,6, 73%, 99%, 99%, 100%, 100%, 100%
144,6, 75%, 99%, 99%, 100%, 100%, 100%
145,6, 77%, 99%, 99%, 100%, 100%, 100%
146,6, 78%, 99%, 99%, 100%, 100%, 100%
147,6, 76%, 98%, 99%, 100%, 100%, 100%
148,6, 71%, 97%, 99%, 100%, 100%, 100%
149,6, 79%, 98%, 99%, 100%, 100%, 100%
150,6, 82%, 99%, 99%, 100%, 100%, 100%
151,6, 83%, 99%, 100%, 100%, 100%, 100%
152,6, 86%, 99%, 100%, 100%, 100%, 100%
153,6, 86%, 99%, 100%, 100%, 100%, 100%
154,6, 91%, 98%, 100%, 100%, 100%, 100%
155,6, 92%, 98%, 100%, 100%, 100%, 100%
156,6, 89%, 97%, 99%, 100%, 100%, 100%
157,6, 91%, 98%, 99%, 100%, 100%, 100%
158,6, 89%, 97%, 99%, 100%, 100%, 100%
159,6, 89%, 97%, 99%, 100%, 100%, 100%
160,6, 58%, 96%, 98%, 100%, 100%, 100%
161,6, 86%, 99%, 99%, 100%, 100%, 100%
162,6, 90%, 99%, 99%, 100%, 100%, 100%
163,6, 83%, 99%, 100%, 100%, 100%, 100%
164,6, 84%, 99%, 99%, 100%, 100%, 100%
165,6, 91%, 99%, 99%, 100%, 100%, 100%
166,6, 91%, 99%, 99%, 100%, 100%, 100%
167,6, 88%, 99%, 99%, 100%, 100%, 100%
168,6, 87%, 99%, 99%, 100%, 100%, 100%
169,6, 93%, 99%, 99%, 100%, 100%, 100%
170,6, 91%, 99%, 99%, 100%, 100%, 100%
171,6, 84%, 98%, 99%, 100%, 100%, 100%
172,6, 86%, 98%, 99%, 100%, 100%, 100%
173,6, 83%, 98%, 99%, 100%, 100%, 100%
174,6, 82%, 98%, 99%, 100%, 100%, 100%
175,6, 85%, 98%, 99%, 100%, 100%, 100%
176,6, 87%, 99%, 99%, 100%, 100%, 100%
